channel,t_stat,p_value,seizure_mean,normal_mean,effect_size
60,8.722233859963376,2.7483000892536255e-18,45.79932893289102,26.176655510126334,1.1534970478501347
23,8.553541212376633,1.2020455089400445e-17,39.80121839368665,18.235994772803206,1.5016239878263267
99,8.461396938731587,2.6596588176878185e-17,70.96605306058316,43.60044363457135,1.2010067699845006
124,8.446050211174509,3.033311497318422e-17,48.33665352898675,28.869974815375784,1.243454472320519
94,8.368895931447934,5.853415563515379e-17,55.55332554997624,33.91256532336603,1.2742792320271064
78,8.13356940494325,4.192229825335994e-16,62.803858267294395,34.23393182139284,0.9792662085080831
75,8.098037683257704,5.616774787133281e-16,53.27954034547548,32.25056542350938,0.9554591667096191
87,8.064500059432785,7.394412661974263e-16,52.57682764207995,32.09926029065711,1.1317628983134582
84,7.783764903291502,7.073707483278414e-15,49.02277647482382,30.186247005117977,1.0229537629885022
83,7.620198441517401,2.5440954544955866e-14,51.9308098457955,32.12354095064706,0.9483805137331242
14,7.609801454997384,2.7572846237152747e-14,39.51738177119075,20.88100439249105,1.2500192549988636
100,7.238254430178551,4.561426537760292e-13,67.68722771309517,42.31883805620593,1.1353381672980214
109,7.1810789550376875,6.940624493637214e-13,58.542516399074245,39.287211186138926,1.0461564627989606
71,6.901802689425463,5.150099226656297e-12,44.788424517657305,24.4684027452128,1.0793278468263856
13,6.808256078591019,9.907023538974848e-12,54.12716313954946,27.466920381730734,1.167296322067628
108,6.5686011460123455,5.091580732545731e-11,64.84487636669262,43.608677180430675,1.0735512567139673
111,6.486591272069533,8.800692918187806e-11,56.76941778853133,36.269424664982324,1.0064754221198862
127,6.471790118073998,9.707470098669781e-11,38.243404079127956,26.3247747535525,0.921574287992103
107,6.445685633809981,1.1534343426950885e-10,90.7629832705936,52.8680427384834,0.9954671739554846
115,6.435127354630487,1.2365154387197262e-10,50.88903994173617,32.86295576602318,1.1574902876175486
93,6.249972400892851,4.113614577588302e-10,53.65064909651473,35.08055424963183,1.0009733783107038
86,6.232914107241148,4.5875993505494407e-10,55.79541340389767,39.13829048591441,0.8990685667829574
95,6.099589417361979,1.0653821974540588e-09,53.42488912633947,35.889150009281984,1.0356571315874938
116,6.09854888542063,1.0723377943420993e-09,59.67756209502349,40.685144510237876,0.985557540290454
74,5.657478665634514,1.538251348491099e-08,60.622973983352246,41.48304602275129,0.6307622083739466
104,5.584330521283797,2.3491030715914247e-08,53.97343635559082,34.22034753163155,1.006393356169834
118,5.457620288524353,4.831380263533196e-08,41.27689304867306,28.77172682381139,0.9388570577096185
96,5.3230910498143515,1.0212992124244019e-07,52.01599239658665,30.760617611308867,0.799347096862715
119,5.316813252539227,1.057150033861618e-07,36.33551308915422,25.639923893447666,0.8970186868660108
97,5.228778935383153,1.7080691362339182e-07,49.78216068164723,34.5948114623517,0.8088223002249353
92,5.193713701132949,2.0634448632938613e-07,54.92616859642235,34.896862955882014,0.9921573094068457
38,4.961898641842477,6.986545803451063e-07,42.987369795103334,21.382616500267837,0.9436794610826447
122,4.627032656127999,3.71177771934358e-06,40.10013508152317,28.230912792253626,0.8062157807100298
0,4.580776657020434,4.6353562437712755e-06,32.94154360487654,22.61685934521295,0.7801115599370719
6,4.414517766662778,1.0128914016423343e-05,32.33554863285374,21.203026950557327,0.7241809581977222
90,4.384137525413905,1.1650639931172257e-05,58.99636753185375,39.83809155994129,0.6032149867895379
98,4.065270673716852,4.79953588633947e-05,80.14166512360444,47.44973884955069,0.8138546854740994
72,3.8456076746614745,0.00012029185181395562,28.45247461989119,42.27766526888359,0.7279503810589326
91,3.820628926688452,0.00013315263628097,53.76595234226536,40.235851754831934,0.6221164118660762
102,3.4386222764881698,0.0005848033217140205,54.48525908186629,42.36356490884778,0.6491400442088768
33,3.2689601373953097,0.001079620095402353,50.20317484881427,35.35344474215405,0.5140982846106328
50,3.0246987261144582,0.0024891297349169104,32.75914632951891,25.342878857514993,0.43495538989840543
5,2.9229329160339073,0.003467906518851171,39.875534830866634,28.394050534812138,0.5516767811225568
44,2.838041944314142,0.004539585669119373,39.60092070296004,31.67275154432342,0.4554439853980479
123,2.5999024660403625,0.00932572190976718,41.10528662398055,26.777257731237246,0.5619050111070315
110,2.4938346995867615,0.012637951671659146,42.14480003150734,35.07334486196571,0.46558609310024895
51,2.486508196052893,0.012901181844840435,26.60204549737879,21.65790368364487,0.40299281883379634
1,2.4405663666298634,0.01466512627481319,32.09112847817911,26.30339193029525,0.4475644433097801
80,2.360432177451587,0.018254624867345484,35.99806471128721,44.51212729259977,0.43645239304982975
20,2.2914817192424053,0.02193661852980034,43.278196257513926,34.43507496186707,0.4210293491373401
28,2.2676393611447283,0.023352275158702418,46.753841193946634,38.493058230799015,0.3563818809236649
26,2.1394529938067977,0.032400224612915196,44.06841437881057,37.58835690059319,0.30365794290138426
89,2.0944677568666785,0.036219607071973484,38.38558539828739,33.530599187237485,0.30992976299981134
16,2.0486215511070736,0.04050045824542939,33.62444006430136,28.2349863150572,0.339600033310445
25,1.87092357125435,0.06135715711532112,33.680951969043626,40.0357174941235,0.3103465385681426
18,1.8103136223523235,0.07024868924698935,41.19702094310039,35.906518390315824,0.2569238802456096
64,1.8052582091332026,0.07103581259515239,36.08020050461228,31.23898769136996,0.27703357073835555
49,1.7565140527073935,0.07900222816415399,35.0883504506704,30.178017507334733,0.244688727927329
65,1.7016037943225109,0.08883124427333523,41.64291858673096,36.914927251558346,0.23007689470466663
40,1.6991101522787948,0.0893000103199767,30.30146039498819,34.931932526538,0.23845104027746042
56,1.6978958114388802,0.0895290078539419,25.357936111656397,28.708909698739532,0.22344575372861802
42,1.620228848341104,0.10518472775581963,27.63915866130107,33.01597157753187,0.2673144518923671
